From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
#BRITAIN
13;1690;sea;1019;-1;-1;-1;-1;Slemish-Arran
14;1684;sea;699;-1;-1;-1;-1;Carrickfergus-Wigtown
35;1691;sea;696;-1;-1;-1;-1;Mull-Ardnamurchon
1504;1515;river_large;628;-1;-1;-1;-1;Rochester-Maldon
1527;1526;river_large;629;-1;-1;-1;-1;London-Southwark
1546;1549;sea;966;-1;-1;-1;-1;Portsmouth-Carisbrooke
1667;1673;sea;1019;-1;-1;-1;-1;Caernarfon-Yns Mon
1684;1699;sea;1019;-1;-1;-1;-1;Wigtown-Ramsey
1692;1693;sea;992;-1;-1;-1;-1;Skye-Lewis
1692;1694;sea;696;-1;-1;-1;-1;Skye-Uists
1693;1694;sea;992;-1;-1;-1;-1;Lewis-Uists
1690;1689;sea;700;-1;-1;-1;-1;Arran-Islay
1689;1691;sea;700;-1;-1;-1;-1;Islay-Mull
1707;8;sea;693;-1;-1;-1;-1;Thurso-Kirkwall
1711;1692;sea;696;-1;-1;-1;-1;Glenfinnan-Skye
#IBERIA
1748;1839;river_large;3250;-1;-1;-1;-1;Faor-Ayamonte
1833;1835;river_large;3252;-1;-1;-1;-1;Zalaca-Badajoz
1845;4682;sea;954;-1;-1;-1;-1;Algeciras-Sabta
1979;1995;river_large;3253;-1;-1;-1;-1;Cabra-Cordoba
1981;1993;river_large;3253;-1;-1;-1;-1;Seville-Triana
#FRANCE
2016;2017;river_large;3247;-1;-1;-1;-1;Nimes-Arles
2142;2144;river_large;3224;-1;-1;-1;-1;Bordeaux-Blaye
2261;2267;river_large;3227;-1;-1;-1;-1;Saumur-Angers
2175;2179;river_large;3234;-1;-1;-1;-1;Harcourt-Rouen
2151;2152;river_large;3226;-1;-1;-1;-1;Rais-Nantes
2332;2181;river_large;3236;-1;-1;-1;-1;Montfort-Mantes
2333;2357;river_large;3236;-1;-1;-1;-1;Paris-Saint-Denis
#GERMANY
2113;2401;sea;3230;-1;-1;-1;-1;Bergen op Zoom-Brielle
2402;2401;sea;3230;-1;-1;-1;-1;Dort-Brielle
2425;2103;river_large;3231;-1;-1;-1;-1;Tiel-Nijmegen
2101;2677;river_large;3231;-1;-1;-1;-1;Moers-Essen
2407;2412;sea;973;-1;-1;-1;-1;Aalkmar-Wadeilannen
2413;2412;sea;973;-1;-1;-1;-1;Leeuwarden-Wadeilannen
2802;2803;river_large;3237;-1;-1;-1;-1;Hamburg-Buxtehude
2814;2899;river_large;3239;-1;-1;-1;-1;Havelberg-Weben
#ITALY
2489;2491;river_large;3245;-1;-1;-1;-1;Roncaglia-Cremona
2497;2530;river_large;3244;-1;-1;-1;-1;Mantua-Guastalla
2525;2527;river_large;3243;-1;-1;-1;-1;Rovigo-Ferrara
2627;2633;sea;8653;-1;-1;-1;-1;Reggio-Messina
2652;2658;sea;8637;-1;-1;-1;-1;Bonifacio-Olbia
#SCANDINAVIA
55;81;sea;1001;-1;-1;-1;-1;Lindholm-Aalborg
227;228;sea;999;-1;-1;-1;-1;Taulov-Middelfart
64;67;sea;999;-1;-1;-1;-1;Naestved-Nykobing
65;69;sea;999;-1;-1;-1;-1;Odense-Slagelse
66;68;sea;999;-1;-1;-1;-1;Svendborg-Nakskov
67;68;sea;999;-1;-1;-1;-1;Nykobing-Nakskov
73;433;sea;999;-1;-1;-1;-1;Helsingborg-Helsingora
180;216;sea;1005;-1;-1;-1;-1;Rauma-Sund
270;272;sea;986;-1;-1;-1;-1;Nidaros-Hitrar
307;314;sea;1003;-1;-1;-1;-1;Kalmar-Borgholm
344;217;sea;1005;-1;-1;-1;-1;Osthammar-Jomala
341;336;sea;959;-1;-1;-1;-1;Sigtuna-Tälje
257;256;river_large;8559;-1;-1;-1;-1;Mithrhordaland-Sunnhordaland
262;263;river_large;8558;-1;-1;-1;-1;Stolsheimen-Fjarland
#BALTICS
89;90;sea;632;-1;-1;-1;-1;Maasilinna-Muhu
89;91;sea;639;-1;-1;-1;-1;Maasilinna-Hiiumaa
92;91;sea;646;-1;-1;-1;-1;Haapsalu-Hiiumaa
